Iteración,Turbinas agregadas,Energia producida [MW],Tiempo de cálculo [s],Ruido receptor 1 [dB],Ruido receptor 2 [dB],Ruido receptor 3 [dB],Ruido receptor 4 [dB],Ruido receptor 5 [dB],Ruido receptor 6 [dB],Ruido receptor 7 [dB]
1,50,86981.0,0.1111969,32.83,39.31,35.46,39.96,29.66,19.76,19.47
2,40,70012.0,8.040175,32.52,39.21,35.23,39.19,27.83,18.68,18.4
3,40,70012.0,5.4232558,32.56,39.22,35.31,39.73,27.87,18.69,18.43
4,40,70011.99999999999,5.1403906,32.74,39.42,35.53,39.51,28.07,18.72,18.47
5,40,70012.0,7.584241,32.64,39.21,35.53,39.4,28.22,18.78,18.5
6,40,70454.5,4.6487117,32.72,39.39,35.58,38.78,28.25,18.79,18.51
7,40,70454.49999999999,5.8853011,32.7,39.2,35.7,38.59,28.29,18.81,18.54
8,40,70454.5,4.7137259,32.74,39.21,35.76,39.01,28.34,18.82,18.57
9,40,70454.5,4.6436772,32.75,39.22,35.79,39.48,28.39,18.83,18.6
10,40,70454.5,5.0064198,32.69,39.39,35.6,38.75,28.45,18.84,18.6
11,40,70454.5,4.9163502,32.62,39.22,35.45,38.47,28.46,18.86,18.61
12,40,70896.99999999999,5.1422403,32.66,39.21,35.5,37.97,28.49,18.87,18.63
13,40,70897.0,5.9807316,32.69,39.22,35.56,38.28,28.53,18.88,18.66
14,40,70897.0,8.9234221,32.7,39.22,35.57,38.61,28.57,18.89,18.68
15,40,70896.99999999999,24.3815162,32.7,39.23,35.57,38.97,28.58,18.9,18.69
16,40,70897.0,4.9875608,32.71,39.23,35.57,39.35,28.58,18.9,18.69
17,40,70897.0,4.8583829,32.71,39.24,35.57,39.74,28.58,18.9,18.7
18,40,70896.99999999999,13.9368401,32.71,39.08,35.55,38.95,28.58,18.91,18.7
19,40,70897.0,5.7441667,32.7,39.24,35.49,38.49,28.61,18.94,18.72
20,40,70897.0,6.2309249,32.72,39.25,35.52,38.76,28.65,18.95,18.74
21,40,70897.0,4.6432393,32.73,39.25,35.52,39.03,28.69,18.96,18.76
22,40,70897.0,4.9860814,32.73,39.25,35.52,39.28,28.7,18.96,18.76
23,40,70897.0,4.9572343,32.74,39.26,35.52,39.51,28.7,18.96,18.77
24,40,70897.0,4.7955778,32.74,39.26,35.52,39.72,28.7,18.97,18.77
25,40,70897.0,5.3635258,32.74,39.26,35.52,39.89,28.71,18.97,18.78
26,40,70897.0,5.8409561,32.83,39.11,35.65,39.28,28.72,18.98,18.77
27,40,70897.0,7.9810024,32.84,39.11,35.66,39.45,28.76,18.99,18.8
28,40,70897.0,4.8733571,32.84,39.12,35.66,39.6,28.76,19.0,18.8
29,40,70897.0,5.1217793,32.85,39.12,35.67,39.76,28.76,19.0,18.8
30,40,70897.0,4.7512437,32.85,39.12,35.67,39.92,28.77,19.0,18.81
31,40,70897.0,4.5803045,32.74,38.96,35.57,39.31,28.79,19.01,18.8
32,40,70897.0,4.9189033,32.75,38.96,35.57,39.46,28.82,19.02,18.83
33,40,70897.0,4.6934948,32.75,38.96,35.57,39.66,28.83,19.03,18.83
34,40,70897.0,4.726878,32.75,38.96,35.57,39.91,28.83,19.03,18.84
35,40,70897.0,4.9208404,32.55,38.93,35.29,39.58,28.87,19.06,18.85
36,40,70897.0,4.7670067,32.57,38.93,35.32,39.87,28.9,19.07,18.87
37,40,70897.0,4.9144977,32.62,39.08,35.29,39.36,28.93,19.09,18.87
38,40,71410.6,4.8910749,32.59,38.94,35.28,38.87,28.95,19.1,18.88
39,40,71410.59999999999,4.6874748,32.65,39.08,35.27,38.47,29.01,19.13,18.89
40,40,71410.59999999999,4.8370422,32.67,39.09,35.31,38.72,29.05,19.14,18.92
41,40,71410.59999999999,4.7616274,32.63,39.25,35.27,38.28,29.08,19.16,18.92
42,40,71410.59999999999,4.7085396,32.66,39.24,35.34,38.03,29.13,19.17,18.94
43,40,71410.59999999999,4.8447925,32.68,39.25,35.38,38.26,29.17,19.18,18.96
44,40,71410.6,4.7267475,32.75,39.26,35.51,38.01,29.24,19.2,18.97
45,40,71410.59999999999,4.7211572,32.77,39.26,35.54,38.24,29.27,19.21,18.99
46,40,71410.59999999999,4.7926778,32.86,39.44,35.62,38.04,29.32,19.23,18.99
47,40,71410.59999999998,4.7281967,32.87,39.44,35.63,38.27,29.35,19.24,19.01
48,40,71410.59999999999,4.7668868,32.81,39.43,35.65,37.99,29.41,19.27,19.03
49,40,71410.59999999999,4.8609432,32.9,39.61,35.57,37.71,29.47,19.29,19.03
50,40,71410.59999999999,4.9032939,32.88,39.6,35.56,37.53,29.51,19.31,19.05
51,40,71410.59999999999,4.6735368,32.92,39.61,35.61,37.68,29.55,19.32,19.08
52,40,71410.6,4.8281601,32.87,39.78,35.51,37.54,29.68,19.36,19.09
