V[m/s]	31Hz	63Hz	125Hz	250Hz	500Hz	1kHz	2kHz	4kHz	8kHz	16kHz	Total
3	71.1	79	85.8	89.2	89.7	90.6	88.5	79.2	62.7	50	96.2
4	74.7	82.6	89.4	92.8	93.3	94.2	92.1	82.8	66.3	50	99.8
5	79.5	87.4	94.2	97.6	98.1	99	96.9	87.6	71.1	50	104.6
6	80.9	88.8	95.6	99	99.5	100.4	98.3	89	72.5	50	106
7	80.9	88.8	95.6	99	99.5	100.4	98.3	89	72.5	50	106
8	80.9	88.8	95.6	99	99.5	100.4	98.3	89	72.5	50	106
9	80.9	88.8	95.6	99	99.5	100.4	98.3	89	72.5	50	106
10	80.9	88.8	95.6	99	99.5	100.4	98.3	89	72.5	50	106
11	80.9	88.8	95.6	99	99.5	100.4	98.3	89	72.5	50	106
12	80.9	88.8	95.6	99	99.5	100.4	98.3	89	72.5	50	106
